carrier,from_airport,to_airport,,long,lat,wac
TU,Erzurum,LTCE,,41.170166,39.956501,5763
TU,Anadolu,LTBY,,30.519378,39.809858,2588
TU,Corlu,LTBU,,27.919094,41.13825,574
TU,Esenboga,LTAC,,32.995083,40.128082,3125
TU,Merzifon,LTAP,,35.521992,40.829375,1758
TU,Topel,LTBQ,,30.083336,40.735028,182
TU,Adnan Menderes,LTBJ,,27.156953,38.292392,412
TU,Erhac,LTAT,,38.091006,38.435347,2828
TU,Van,LTCI,,43.3323,38.468219,5480
TU,Iskenderun,LTAK,,36.154,36.573472,25
TU,Imsik,LTBV,,27.669717,37.140144,202
TW,Nangan,RCFG,,119.958472,26.159778,232
TW,Pingtung South,RCDC,,120.461728,22.672367,78
TW,Kaohsiung Intl,RCKH,,120.350006,22.577094,31
TW,Shang Yi,RCBS,,118.359197,24.427892,93
TW,Lyudao,RCGI,,121.466481,22.673853,28
TW,Longtan,RCDI,,121.237636,24.855136,790
TW,Fengnin,RCFN,,121.101681,22.754986,143
TW,Magong,RCQC,,119.628311,23.568669,103
TW,Ching Chuan Kang Ab,RCMQ,,120.62058,24.264668,663
TW,Sungshan,RCSS,,121.5525,25.069722,18
TW,Hualien,RCYU,,121.616906,24.023725,52
TW,Chiayi,RCKU,,120.39283,23.461779,85
TW,Chiang Kai Shek Intl,RCTP,,121.232822,25.077731,106
TW,Wang An,RCWA,,119.494444,23.370833,115
TW,Jhihhang,RCQS,,121.181975,22.793117,128
TW,Gangshan,RCAY,,120.262569,22.782533,34
TW,Tainan,RCNN,,120.205778,22.950361,63
TW,Hsinchu,RCPO,,120.939394,24.818033,26
TW,Pingtung North,RCSQ,,120.482,22.700239,97
TW,Beigan,RCMT,,120.00275,26.224153,41
TW,Hengchun,RCKW,,120.730208,22.041075,46
TW,Lanyu,RCLY,,121.533642,22.028842,44
TX,Pitnyak,UT1E,,61.4153,41.124411,358
TX,Yangadzha,UT1F,,53.328628,40.038136,-20
TX,Serakhs Southeast,UT50,,61.266492,36.491922,902
TX,Kerki,UT51,,65.212497,37.808983,770
TX,Mary North,UT52,,61.826981,37.664347,728
TX,Ashkhabad Bezmein,UT1G,,58.195025,38.011981,920
TX,Mary,UTAM,,61.896667,37.619444,728
TX,Turkmenbashi,UTAK,,53.007222,40.063333,279
TX,Turkmenabat,UTAV,,63.613333,39.083333,630
